model,accuracy,f1_score,precision,recall,balanced_accuracy
LogisticRegression,0.9649122807017544,0.9523809523809524,0.975609756097561,0.9302325581395349,0.9580740255486406
DecisionTree,0.9210526315789473,0.896551724137931,0.8863636363636364,0.9069767441860465,0.9182771044873894
KNearsNeighbors,0.9736842105263158,0.963855421686747,1.0,0.9302325581395349,0.9651162790697674
RandomForest,0.9649122807017544,0.9523809523809524,0.975609756097561,0.9302325581395349,0.9580740255486406
XGBoost,0.956140350877193,0.9411764705882352,0.9523809523809523,0.9302325581395349,0.9510317720275139
NaiveBayes,0.9736842105263158,0.963855421686747,1.0,0.9302325581395349,0.9651162790697674
NeuralNetwork,0.9649122807017544,0.9523809523809524,0.975609756097561,0.9302325581395349,0.9580740255486406
LogisticRegression_all_features,0.956140350877193,0.9397590361445783,0.975,0.9069767441860465,0.9464461185718964
DecisionTree_all_features,0.9210526315789473,0.896551724137931,0.8863636363636364,0.9069767441860465,0.9182771044873894
KNearsNeighbors_all_features,0.9736842105263158,0.963855421686747,1.0,0.9302325581395349,0.9651162790697674
RandomForest_all_features,0.9649122807017544,0.9523809523809524,0.975609756097561,0.9302325581395349,0.9580740255486406
XGBoost_all_features,0.956140350877193,0.9411764705882352,0.9523809523809523,0.9302325581395349,0.9510317720275139
NaiveBayes_all_features,0.9736842105263158,0.963855421686747,1.0,0.9302325581395349,0.9651162790697674
NeuralNetwork_all_features,0.9649122807017544,0.951219512195122,1.0,0.9069767441860465,0.9534883720930232
